epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.673,1.06416,2.47096,1.29627,0.358,0.31365,0.24092,0.13758,1.4575,2.34443,1.57599,0.000332958,0.000332958,0.000332958
2,302.875,1.0187,1.87541,1.26855,0.39306,0.31073,0.28192,0.15982,1.49521,2.26891,1.62404,0.000649801,0.000649801,0.000649801
3,451.247,1.01193,1.72752,1.26751,0.4159,0.29861,0.26913,0.15188,1.50426,2.32391,1.6532,0.000950144,0.000950144,0.000950144
4,601.373,0.98884,1.60258,1.25503,0.41218,0.33365,0.30101,0.16997,1.5073,2.23398,1.67056,0.00092575,0.00092575,0.00092575
5,751.531,0.95398,1.50664,1.23305,0.48136,0.34037,0.34211,0.20652,1.44154,2.1057,1.60543,0.000901,0.000901,0.000901
6,901.6,0.9298,1.42065,1.21607,0.51501,0.35098,0.36827,0.22059,1.45798,2.03981,1.59525,0.00087625,0.00087625,0.00087625
7,1044.2,0.91111,1.37544,1.20633,0.4946,0.31371,0.32071,0.18937,1.45871,2.14974,1.64449,0.0008515,0.0008515,0.0008515
8,1189.76,0.89397,1.33507,1.19293,0.48297,0.37702,0.36455,0.21751,1.42345,1.97922,1.57707,0.00082675,0.00082675,0.00082675
9,1340.12,0.87698,1.27935,1.18301,0.52679,0.37308,0.38454,0.23448,1.39603,1.93799,1.54384,0.000802,0.000802,0.000802
10,1481.16,0.87556,1.24337,1.17829,0.51437,0.38384,0.39025,0.24311,1.38635,1.90966,1.53308,0.00077725,0.00077725,0.00077725
11,1613.49,0.84833,1.22141,1.17009,0.50949,0.38853,0.39409,0.23862,1.39118,1.92876,1.55479,0.0007525,0.0007525,0.0007525
12,1752.96,0.8443,1.16518,1.15517,0.54962,0.37245,0.38593,0.24071,1.36783,1.97125,1.52311,0.00072775,0.00072775,0.00072775
13,1893.04,0.83937,1.16534,1.16347,0.55267,0.38392,0.41503,0.26555,1.33452,1.89837,1.49784,0.000703,0.000703,0.000703
14,2033.04,0.82223,1.13781,1.14645,0.58594,0.39577,0.42791,0.26893,1.34903,1.83363,1.51881,0.00067825,0.00067825,0.00067825
15,2173.39,0.815,1.11485,1.1474,0.51843,0.42834,0.42614,0.27203,1.33344,1.81335,1.49536,0.0006535,0.0006535,0.0006535
16,2313.52,0.80169,1.06883,1.13333,0.56278,0.41489,0.44297,0.27998,1.32285,1.76152,1.47083,0.00062875,0.00062875,0.00062875
17,7092.81,0.80639,1.06262,1.13615,0.56281,0.41034,0.41801,0.269,1.32397,1.87347,1.50321,0.000604,0.000604,0.000604
18,7249.53,0.80149,1.04259,1.13093,0.52823,0.42429,0.43433,0.27862,1.30883,1.79985,1.46996,0.00057925,0.00057925,0.00057925
19,7392.94,0.77987,1.01383,1.12359,0.57487,0.42757,0.45036,0.29243,1.30506,1.73151,1.46505,0.0005545,0.0005545,0.0005545
20,7535.41,0.78675,1.00022,1.12687,0.55501,0.41714,0.43686,0.27735,1.31781,1.84358,1.48668,0.00052975,0.00052975,0.00052975
21,7677.7,0.77392,0.99173,1.11923,0.59229,0.40035,0.43918,0.28287,1.31724,1.81946,1.49527,0.000505,0.000505,0.000505
22,7819.6,0.76956,0.96855,1.1139,0.62018,0.43487,0.47296,0.30741,1.27851,1.67209,1.43127,0.00048025,0.00048025,0.00048025
23,7959.1,0.76641,0.96289,1.11102,0.61756,0.43218,0.46048,0.3043,1.27302,1.71526,1.43223,0.0004555,0.0004555,0.0004555
24,8098.74,0.76136,0.93266,1.10757,0.60481,0.44724,0.47072,0.30872,1.28102,1.73628,1.45355,0.00043075,0.00043075,0.00043075
25,8236.59,0.7543,0.92854,1.10901,0.58406,0.40736,0.42865,0.26941,1.32009,1.8778,1.5019,0.000406,0.000406,0.000406
26,8376.13,0.74733,0.90801,1.09935,0.60559,0.43658,0.46729,0.30756,1.27908,1.74266,1.45609,0.00038125,0.00038125,0.00038125
27,8516.08,0.74469,0.88916,1.10053,0.60453,0.44783,0.47924,0.31365,1.26498,1.68741,1.43584,0.0003565,0.0003565,0.0003565
28,8658.54,0.73881,0.87381,1.09528,0.59608,0.44365,0.47518,0.31312,1.26691,1.75293,1.43838,0.00033175,0.00033175,0.00033175
